id;customer_ref;customer_type;full_name;date_of_birth;id_number;registration_number;address;phone_number;created_at;updated_at
1;"FGR-CUST-37592297";COMPANY;abaft fishery;2025-12-13;whenever unnecessarily hepatitis;anenst;boohoo owlishly;yieldingly aside pis;2025-12-14T00:34:34;2025-12-13T22:42:13
2;"FGR-CUST-73179437";COMPANY;before whole;2025-12-13;lest deselect;neatly extra-large;although galvanize truthfully;psst;2025-12-13T17:24:21;2025-12-13T13:51:43
3;"FGR-CUST-55698954";COMPANY;incline;2025-12-13;above;overstay;how how;up bathrobe;2025-12-13T23:29:27;2025-12-13T20:53:40
4;"FGR-CUST-94816328";INDIVIDUAL;deer far-flung;2025-12-14;around regarding newsprint;forgery until soggy;phooey lest weatherize;for furthermore;2025-12-13T13:31:04;2025-12-13T22:04:43
5;"FGR-CUST-99639599";INDIVIDUAL;ridge;2025-12-14;harp new which;gee after;righteously blissfully;unexpectedly;2025-12-14T04:41:39;2025-12-13T23:08:43
6;"FGR-CUST-88333463";INDIVIDUAL;sustenance hence brr;2025-12-13;ick;manner after;failing;that programme extri;2025-12-14T01:47:20;2025-12-13T22:34:41
7;"FGR-CUST-75153684";COMPANY;out fervently stage;2025-12-13;typify;hm;likewise broadside outbid;implode powerfully;2025-12-14T02:30:28;2025-12-14T07:48:59
8;"FGR-CUST-74685035";COMPANY;woot;2025-12-13;overspend;director when inconsequential;fleck headline;redress bustling;2025-12-13T19:15:51;2025-12-13T16:00:07
9;"FGR-CUST-08670264";COMPANY;that or milky;2025-12-13;sans blah;enraged;soup;phooey;2025-12-13T15:54:09;2025-12-13T16:10:49
10;"FGR-CUST-04311251";COMPANY;outnumber;2025-12-13;taut gerbil yippee;duh mooch;rubric lava;boldly kindheartedly;2025-12-13T18:31:08;2025-12-14T08:31:16
